# Wind Included (Up to date)
# 389 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (65.7 ft/s)
#
# Time (s),Altitude (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
23.398,552.471,NaN
23.413,551.732,NaN
23.429,550.954,NaN
23.447,550.131,NaN
23.466,549.26,NaN
23.486,548.333,NaN
23.508,547.344,NaN
23.533,546.284,NaN
23.56,545.142,NaN
23.589,543.906,NaN
23.623,542.557,NaN
23.66,541.076,NaN
23.703,539.435,NaN
23.752,537.596,NaN
23.809,535.509,NaN
23.877,533.099,NaN
23.959,530.258,NaN
24.062,526.811,NaN
24.196,522.462,NaN
24.382,516.643,NaN
24.662,508.088,NaN
25.162,493.157,NaN
25.662,478.353,NaN
26.162,463.539,NaN
26.662,448.731,NaN
27.162,433.925,NaN
27.662,419.122,NaN
28.162,404.323,NaN
28.662,389.526,NaN
29.162,374.733,NaN
29.662,359.943,NaN
30.162,345.156,NaN
30.662,330.372,NaN
31.162,315.592,NaN
31.662,300.814,NaN
32.162,286.04,NaN
32.662,271.269,NaN
33.162,256.501,NaN
33.662,241.736,NaN
34.162,226.974,NaN
34.662,212.215,NaN
35.162,197.459,NaN
35.662,182.707,NaN
36.162,167.958,NaN
36.662,153.211,NaN
37.162,138.468,NaN
37.662,123.728,NaN
38.162,108.991,NaN
38.662,94.257,NaN
39.162,79.526,NaN
39.662,64.798,NaN
40.162,50.074,NaN
40.662,35.352,NaN
41.162,20.634,NaN
41.662,5.918,NaN
# Event GROUND_HIT occurred at t=41.863 seconds
# Event SIMULATION_END occurred at t=41.863 seconds
41.863,0,NaN
