Time	Actual	Regression Fit
18.05	339	329.8326469
18.1	337	328.3465697
18.15	334	326.8630282
18.2	331	325.3819911
18.25	329	323.9034273
18.3	327	322.4273053
18.35	326	320.9535939
18.4	324	319.4822619
18.45	323	318.0132778
18.5	323	316.5466105
18.55	322	315.0822287
18.6	321	313.620101
18.65	320	312.1601961
18.7	317	310.7024828
18.75	316	309.2469299
18.8	317	307.7935059
18.85	315	306.3421796
18.9	316	304.8929197
18.95	314	303.445695
19	310	302.0004741
19.05	310	300.5572258
19.1	310	299.1159187
19.15	306	297.6765216
19.2	304	296.2390032
19.25	304	294.8033321
19.3	302	293.3694772
19.35	298	291.9374071
19.4	297	290.5070905
19.45	296	289.0784962
19.5	297	287.6515928
19.55	293	286.226349
19.6	291	284.8027336
19.65	292	283.3807153
19.7	286	281.9602628
19.75	286	280.5413448
19.8	284	279.12393
19.85	282	277.7079871
19.9	280	276.2934849
19.95	279	274.880392
20	278	273.4686771
20.05	277	272.0583091
20.1	278	270.6492565
20.15	275	269.241488
20.2	275	267.8349725
20.25	273	266.4296786
20.3	271	265.025575
20.35	269	263.6226304
20.4	266	262.2208136
20.45	264	260.8200932
20.5	263	259.420438
20.55	262	258.0218167
20.6	261	256.6241979
20.65	260	255.2275504
20.7	259	253.831843
20.75	259	252.4370442
20.8	255	251.0431229
20.85	252	249.6500477
20.9	251	248.2577874
20.95	251	246.8663106
21	249	245.4755861
21.05	247	244.0855825
21.1	245	242.6962687
21.15	243	241.3076132
21.2	242	239.9195849
21.25	241	238.5321524
21.3	240	237.1452844
21.35	238	235.7589497
21.4	237	234.3731169
21.45	235	232.9877548
21.5	230	231.602832
21.55	228	230.2183174
21.6	226	228.8341795
21.65	224	227.4503872
21.7	222	226.066909
21.75	222	224.6837138
21.8	221	223.3007703
21.85	219	221.9180471
21.9	217	220.5355129
21.95	215	219.1531365
22	214	217.7708866
22.05	215	216.3887319
22.1	212	215.0066411
22.15	211	213.6245829
22.2	210	212.2425261
22.25	208	210.8604393
22.3	205	209.4782912
22.35	206	208.0960506
22.4	203	206.7136861
22.45	203	205.3311666
22.5	202	203.9484606
22.55	202	202.5655369
22.6	199	201.1823642
22.65	198	199.7989113
22.7	197	198.4151468
22.75	195	197.0310394
22.8	193	195.6465579
22.85	191	194.2616709
22.9	191	192.8763473
22.95	190	191.4905556
23	188	190.1042646
23.05	187	188.717443
23.1	188	187.3300595
23.15	185	185.9420829
23.2	184	184.5534818
23.25	181	183.1642249
23.3	179	181.7742811
23.35	177	180.3836188
23.4	176	178.992207
23.45	178	177.6000143
23.5	174	176.2070094
23.55	172	174.8131609
23.6	172	173.4184377
23.65	169	172.0228085
23.7	171	170.6262419
23.75	169	169.2287066
23.8	168	167.8301715
23.85	164	166.430605
23.9	164	165.0299761
23.95	161	163.6282534
24	160	162.2254056
24.05	159	160.8214014
24.1	157	159.4162096
24.15	155	158.0097988
24.2	153	156.6021378
24.25	152	155.1931952
24.3	151	153.7829398
24.35	150	152.3713402
24.4	149	150.9583653
24.45	146	149.5439837
24.5	145	148.1281641
24.55	144	146.7108752
24.6	142	145.2920858
24.65	140	143.8717645
24.7	140	142.4498801
24.75	138	141.0264013
24.8	136	139.6012967
24.85	136	138.1745352
24.9	134	136.7460853
24.95	133	135.3159158
25	131	133.8839955
25.05	132	132.450293
25.1	130	131.0147771
25.15	129	129.5774164
25.2	127	128.1381797
25.25	125	126.6970357
25.3	122	125.253953
25.35	122	123.8089005
25.4	119	122.3618468
25.45	119	120.9127606
25.5	117	119.4616106
25.55	115	118.0083656
25.6	117	116.5529942
25.65	114	115.0954652
25.7	114	113.6357472
25.75	113	112.1738091
25.8	111	110.7096194
25.85	109	109.243147
25.9	108	107.7743605
25.95	106	106.3032286
26	103	104.82972
26.05	100	103.3538035
26.1	99	101.8754478
26.15	98	100.3946215
26.2	96	98.91129341
26.25	95	97.42543221
26.3	93	95.93700662
26.35	92	94.44598535
26.4	91	92.9523371
26.45	88	91.45603059
26.5	87	89.95703452
26.55	87	88.45531762
26.6	85	86.95084858
26.65	80	85.44359612
26.7	84	83.93352895
26.75	82	82.42061578
26.8	80	80.90482533
26.85	77	79.38612629
26.9	76	77.86448739
26.95	73	76.33987733
27	69	74.81226483
27.05	67	73.28161859
27.1	65	71.74790733
27.15	64	70.21109976
27.2	62	68.67116458
27.25	61	67.12807051
27.3	60	65.58178626
27.35	59	64.03228053
27.4	59	62.47952205
27.45	56	60.92347952
27.5	55	59.36412165
27.55	53	57.80141716
27.6	52	56.23533474
27.65	51	54.66584312
27.7	49	53.09291101
27.75	47	51.51650711
27.8	45	49.93660013
27.85	43	48.35315879
27.9	40	46.7661518
27.95	38	45.17554787
28	38	43.58131571
28.05	40	41.98342402
28.1	43	40.38184153
28.15	41	38.77653694
28.2	39	37.16747896
28.25	38	35.5546363
28.3	33	33.93797767
28.35	28	32.31747179
28.4	33	30.69308736
28.45	30	29.0647931
28.5	27	27.43255771
28.55	25	25.79634991
